area_type,area,fips,date,status,labor_force,employment,unemployment,unemployment_rate
County,Santa Cruz County,06087,2020-01-01,Final,139625,131047,8578,6.1
County,Shasta County,06089,2020-01-01,Final,74561,70562,3999,5.4
County,Sierra County,06091,2020-01-01,Final,1316,1234,82,6.2
County,Siskiyou County,06093,2020-01-01,Final,17063,15645,1418,8.3
County,Solano County,06095,2020-01-01,Final,208963,200517,8446,4
County,Sonoma County,06097,2020-01-01,Final,258202,250592,7610,2.9
County,Stanislaus County,06099,2020-01-01,Final,243344,227272,16072,6.6
County,Sutter County,06101,2020-01-01,Final,46474,42413,4061,8.7
County,Tehama County,06103,2020-01-01,Final,25712,24083,1629,6.3
County,Trinity County,06105,2020-01-01,Final,4434,4128,306,6.9
County,Tulare County,06107,2020-01-01,Final,204455,182017,22438,11
County,Tuolumne County,06109,2020-01-01,Final,21457,20405,1052,4.9
County,Ventura County,06111,2020-01-01,Final,423012,406575,16437,3.9
County,Yolo County,06113,2020-01-01,Final,108995,103603,5392,4.9
County,Yuba County,06115,2020-01-01,Final,30949,28776,2173,7
