area,fips,date_start,date_end,variable,code,response,n,pct
Yuba County,06115,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,3784,6.6
Yuba County,06115,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,873,1.5
Alameda County,06001,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,106627,8.1
Alameda County,06001,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,19648,1.5
Alpine County,06003,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,101,11.3
Alpine County,06003,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,19,2.1
Amador County,06005,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,1947,5.8
Amador County,06005,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,359,1.1
Butte County,06007,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,13842,7.9
Butte County,06007,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,2551,1.5
Calaveras County,06009,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,2591,6.8
Calaveras County,06009,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,477,1.3
Colusa County,06011,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,2805,17.9
Colusa County,06011,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,517,3.3
Contra Costa County,06013,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,73583,8.3
Contra Costa County,06013,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,13559,1.5
Del Norte County,06015,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,1175,5.4
Del Norte County,06015,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,217,1
El Dorado County,06017,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,12821,8.3
El Dorado County,06017,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,2363,1.5
Fresno County,06019,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,72489,10.2
Fresno County,06019,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,13358,1.9
Glenn County,06021,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,1736,8.4
Glenn County,06021,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,320,1.5
Humboldt County,06023,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,8155,7.5
Humboldt County,06023,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,1503,1.4
Imperial County,06025,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,19000,14.7
Imperial County,06025,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,3501,2.7
Inyo County,06027,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,1062,7.4
Inyo County,06027,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,196,1.4
Kern County,06029,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,66140,10.4
Kern County,06029,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,12188,1.9
Kings County,06031,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,9298,8.4
Kings County,06031,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,1713,1.5
Lake County,06033,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,4088,8
Lake County,06033,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,753,1.5
Lassen County,06035,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,986,3.8
Lassen County,06035,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,182,0.7
Los Angeles County,06037,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,918732,11.8
Los Angeles County,06037,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,169294,2.2
Madera County,06039,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,9904,8.7
Madera County,06039,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,1825,1.6
Marin County,06041,2020-05-28,2020-06-02,curfoodsuf,3,Sometimes not enough to eat,13565,6.6
Marin County,06041,2020-05-28,2020-06-02,curfoodsuf,4,Often not enough to eat,2500,1.2
